Key,FinancialCase,CostCase,CRPYears,Technology,TechDetail,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RA3OfOTRG55,RD,Advanced,30,OffShoreWind,OTRG5,4661.975216,4340.199639,4074.540402,3838.780539,3624.548048,3427.8756,3246.397193,3078.456983,2922.7564,2778.19455,2643.789815,2518.639485,2401.898632,2292.76925,2190.49505,2140.221312,2095.457674,2055.597217,2020.056706,1988.272891,1959.699354,1933.803808,1910.065808,1887.974849,1867.028846,1846.732972,1826.598886,1806.144328,1784.8931,1762.375454,1738.128892,1711.699429,1682.643354
RM3OfOTRG55,RD,Moderate,30,OffShoreWind,OTRG5,4661.975216,4399.003198,4184.509458,3996.886256,3828.994008,3677.355364,3539.865366,3415.05153,3301.773842,3199.08392,3106.151659,3022.22393,2946.59987,2878.615351,2817.632825,2763.034448,2714.217298,2670.589955,2631.570016,2596.582238,2565.057143,2536.429941,2510.139699,2485.628682,2462.341833,2439.726348,2417.23134,2394.307558,2370.407159,2344.983513,2317.491049,2287.385117,2254.121875
RC3OfOTRG55,RD,Conservative,30,OffShoreWind,OTRG5,4661.975216,4518.828259,4432.141241,4354.780564,4284.718985,4220.906064,4162.657414,4109.457343,4060.878834,4016.545987,3976.114448,3939.260393,3905.673939,3875.055004,3847.11059,3821.55296,3798.098354,3776.466081,3756.377855,3737.557298,3719.729573,3702.62109,3685.959289,3669.472465,3652.889625,3635.940376,3618.354839,3599.86357,3580.197501,3559.087886,3536.266264,3511.464418,3484.414347
RA3OfOTRG66,RD,Advanced,30,OffShoreWind,OTRG6,4628.956215,4310.254424,4045.754865,3810.492142,3596.476465,3399.90503,3218.495095,3050.63659,2895.056942,2750.669792,2616.500952,2491.650527,2375.273299,2266.56884,2164.776976,2114.486644,2069.729512,2029.896271,1994.400987,1962.677478,1934.176212,1908.361647,1884.709964,1862.707196,1841.847711,1821.633079,1801.571299,1781.176415,1759.968507,1737.474093,1713.22695,1686.769393,1657.654056
RM3OfOTRG66,RD,Moderate,30,OffShoreWind,OTRG6,4628.956215,4368.509985,4154.932124,3967.630681,3799.781005,3648.043273,3510.383574,3385.369833,3271.886339,3168.999731,3075.889195,2991.807164,2916.055805,2847.972241,2786.918887,2732.276908,2683.441667,2639.819475,2600.825218,2565.880601,2534.412809,2505.853492,2479.63797,2455.204604,2431.994303,2409.450123,2387.016942,2364.141193,2340.270653,2314.85425,2287.341921,2257.184478,2223.833506
RC3OfOTRG66,RD,Conservative,30,OffShoreWind,OTRG6,4628.956215,4487.224679,4400.509066,4322.98132,4252.697057,4188.641382,4130.14772,4076.710016,4027.906602,3983.364442,3942.740524,3905.711369,3871.966764,3841.205822,3813.134398,3787.463351,3763.907327,3742.183891,3722.012894,3703.116009,3685.216368,3668.038295,3651.307092,3634.748874,3618.090433,3601.059137,3583.382835,3564.789797,3545.008646,3523.768316,3500.798007,3475.827154,3448.585398
RA3OfOTRG77,RD,Advanced,30,OffShoreWind,OTRG7,4670.643507,4353.113592,4082.560669,3839.21536,3616.658195,3411.745961,3222.513563,3047.509596,2885.53546,2735.529274,2596.510518,2467.552983,2347.771924,2236.318658,2132.37916,2079.740637,2033.001107,1991.511755,1954.646636,1921.799264,1892.379643,1865.811671,1841.530923,1818.982788,1797.620978,1776.906404,1756.306443,1735.294589,1713.350519,1689.960584,1664.618751,1636.828035,1606.102485
RM3OfOTRG77,RD,Moderate,30,OffShoreWind,OTRG7,4670.643507,4411.224936,4192.655402,3998.545264,3823.35291,3664.282615,3519.567658,3387.915537,3268.28303,3159.770601,3061.567393,2972.920268,2893.115274,2821.466004,2757.305978,2699.983492,2648.858028,2603.297696,2562.677363,2526.377266,2493.781964,2464.279532,2437.260936,2412.11954,2388.250715,2365.051525,2341.920466,2318.257264,2293.4627,2266.938465,2238.087043,2206.311609,2171.015945
RC3OfOTRG77,RD,Conservative,30,OffShoreWind,OTRG7,4670.643507,4529.677843,4438.91335,4357.051152,4282.477749,4214.312035,4151.947364,4094.903578,4042.767006,3995.162301,3951.737771,3912.157117,3876.094493,3843.231399,3813.254652,3785.855007,3760.726205,3737.564288,3716.0671,3695.933916,3676.865165,3658.562215,3640.727202,3623.062905,3605.272637,3587.060161,3568.129623,3548.185499,3526.932544,3504.075756,3479.320345,3452.371705,3422.935393
RA3OfOTRG88,RD,Advanced,30,OffShoreWind,OTRG8,5679.800566,5180.733852,4750.987919,4367.279355,4021.467029,3709.088188,3426.980619,3172.539684,2943.43535,2737.493711,2552.646675,2386.912536,2238.391025,2105.264949,1985.804368,1919.503397,1863.015533,1815.165023,1774.833095,1740.949609,1712.484982,1688.442617,1667.852058,1649.763112,1633.241116,1617.363519,1601.217869,1583.901315,1564.521687,1542.200296,1516.076594,1485.315011,1449.114402
RM3OfOTRG88,RD,Moderate,30,OffShoreWind,OTRG8,5679.800566,5270.088002,4917.190202,4601.921719,4317.503953,4060.298768,3827.844892,3618.22342,3429.800546,3261.106797,3110.774123,2977.500485,2860.028661,2757.132934,2667.610377,2590.27496,2523.953451,2467.48248,2419.706408,2379.475739,2345.645918,2317.076412,2292.629993,2271.172179,2251.57078,2232.695542,2213.417852,2192.610503,2169.147491,2141.903857,2109.755547,2071.579298,2026.252539
RC3OfOTRG88,RD,Conservative,30,OffShoreWind,OTRG8,5679.800566,5473.03551,5304.836768,5150.969281,5009.667768,4879.870188,4760.778036,4651.714258,4552.065644,4461.25578,4378.730965,4303.952282,4236.390846,4175.524828,4120.837505,4071.815935,4027.950041,3988.731958,3953.65555,3922.216055,3893.909821,3868.234094,3844.686862,3822.766725,3801.972799,3781.804633,3761.762142,3741.345559,3720.055382,3697.392346,3672.857389,3645.951624,3616.17632
