bus_id,dist,rs,rb
33583,0.0,s242,p110
33584,0.0,s242,p110
33585,0.0,s242,p110
33586,0.0,s242,p110
33587,0.0,s242,p110
33588,0.0,s241,p109
33589,0.0,s241,p109
33590,0.0,s241,p109
33591,0.0,s241,p109
33592,0.0,s241,p109
33593,0.0,s241,p109
33594,0.0,s241,p109
33595,0.0,s241,p109
33596,0.0,s240,p109
33597,0.0,s241,p109
33598,0.0,s240,p109
33599,0.0,s240,p109
33600,0.0,s241,p109
33601,0.0,s241,p109
33602,0.0,s240,p109
33603,0.0,s240,p109
33604,0.0,s241,p109
33605,0.0,s240,p109
33606,0.0,s240,p109
33607,0.0,s240,p109
33608,0.0,s240,p109
33609,0.0,s240,p109
33610,0.0,s240,p109
33611,0.0,s240,p109
33612,0.0,s240,p109
33613,0.0,s242,p110
33614,0.0,s242,p110
33615,0.0,s242,p110
33616,0.0,s242,p110
33617,0.0,s242,p110
33618,0.0,s242,p110
33619,0.0,s242,p110
33620,0.0,s242,p110
33621,0.0,s242,p110
33622,0.0,s242,p110
33623,0.0,s242,p110
33624,0.0,s242,p110
33625,0.0,s242,p110
33626,0.0,s242,p110
33627,0.0,s242,p110
33628,0.0,s242,p110
33629,0.0,s242,p110
33630,0.0,s243,p118
33631,0.0,s243,p118
33632,0.0,s242,p110
33633,0.0,s242,p110
33634,0.0,s242,p110
33635,0.0,s242,p110
33636,0.0,s242,p110
33637,0.0,s243,p118
33638,0.0,s242,p110
33639,0.0,s242,p110
33640,0.0,s242,p110
33641,0.0,s242,p110
33642,0.0,s242,p110
33643,0.0,s238,p109
33644,0.0,s238,p109
33645,0.0,s238,p109
33646,0.0,s238,p109
33647,0.0,s238,p109
33648,0.0,s287,p93
33649,0.0,s240,p109
33650,0.0,s240,p109
33651,0.0,s240,p109
33652,0.0,s286,p93
33653,0.0,s286,p93
33654,0.0,s286,p93
33655,0.0,s286,p93
33656,0.0,s286,p93
33657,0.0,s286,p93
33658,0.0,s286,p93
33659,0.0,s286,p93
33660,0.0,s286,p93
33661,0.0,s286,p93
33662,0.0,s286,p93
33663,0.0,s286,p93
33664,0.0,s286,p93
33665,0.0,s286,p93
33666,0.0,s286,p93
33667,0.0,s286,p93
33668,0.0,s286,p93
33669,0.0,s240,p109
33670,0.0,s240,p109
33671,0.0,s240,p109
33672,0.0,s240,p109
33673,0.0,s240,p109
33674,0.0,s240,p109
33675,0.0,s239,p109
33676,0.0,s240,p109
33677,0.0,s240,p109
33678,0.0,s238,p109
33679,0.0,s238,p109
33680,0.0,s238,p109
33681,0.0,s238,p109
33682,0.0,s240,p109
33683,0.0,s240,p109
33684,0.0,s240,p109
33685,0.0,s240,p109
33686,0.0,s240,p109
33687,0.0,s240,p109
33688,0.0,s240,p109
33689,0.0,s240,p109
33690,0.0,s240,p109
33691,0.0,s240,p109
33692,0.0,s286,p93
33693,0.0,s286,p93
33694,0.0,s286,p93
33695,0.0,s286,p93
33696,0.0,s286,p93
33697,0.0,s286,p93
33698,0.0,s286,p93
33699,0.0,s286,p93
33700,0.0,s286,p93
33701,0.0,s286,p93
33702,0.0,s286,p93
33703,0.0,s286,p93
33704,0.0,s238,p109
33705,0.0,s242,p110
33706,0.0,s242,p110
33707,0.0,s242,p110
33708,0.0,s238,p109
33709,0.0,s247,p117
33710,0.0,s238,p109
33711,0.0,s238,p109
33712,0.0,s238,p109
33713,0.0,s238,p109
33714,0.0,s286,p93
33715,0.0,s286,p93
33716,0.0,s286,p93
33717,0.0,s286,p93
33718,0.0,s286,p93
33719,0.0,s286,p93
33720,0.0,s286,p93
33721,0.0,s286,p93
33722,0.0,s286,p93
33723,0.0,s286,p93
33724,0.0,s286,p93
33725,0.0,s286,p93
33726,0.0,s286,p93
33727,0.0,s286,p93
33728,0.0,s286,p93
33729,0.0,s286,p93
33730,0.0,s287,p93
33731,0.0,s287,p93
33732,0.0,s287,p93
33733,0.0,s287,p93
33734,0.0,s287,p93
33735,0.0,s287,p93
33736,0.0,s287,p93
33737,0.0,s287,p93
33738,0.0,s281,p92
33739,0.0,s287,p93
33740,0.0,s287,p93
33741,0.0,s287,p93
33742,0.0,s287,p93
33743,0.0,s241,p109
33744,0.0,s241,p109
33745,0.0,s241,p109
33746,0.0,s241,p109
33747,0.0,s287,p93
33748,0.0,s287,p93
33749,0.0,s241,p109
33750,0.0,s241,p109
33751,0.0,s236,p108
33752,0.0,s237,p109
33753,0.0,s237,p109
33754,0.0,s237,p109
33755,0.0,s237,p109
33756,0.0,s237,p109
33757,0.0,s237,p109
33758,0.0,s238,p109
33759,0.0,s238,p109
33760,0.0,s238,p109
33761,0.0,s238,p109
33762,0.0,s238,p109
33763,0.0,s238,p109
33764,0.0,s238,p109
33765,0.0,s238,p109
33766,0.0,s238,p109
33767,0.0,s238,p109
33768,0.0,s238,p109
33769,0.0,s238,p109
33770,0.0,s238,p109
33771,0.0,s238,p109
33772,0.0,s240,p109
33773,0.0,s240,p109
33774,0.0,s240,p109
33775,0.0,s240,p109
33776,0.0,s240,p109
33777,0.0,s287,p93
33778,0.0,s238,p109
33779,0.0,s238,p109
33780,0.0,s238,p109
33781,0.0,s238,p109
33782,0.0,s286,p93
33783,0.0,s236,p108
33784,0.0,s236,p108
33785,0.0,s236,p108
33786,0.0,s236,p108
33787,0.0,s236,p108
33788,0.0,s236,p108
33789,0.0,s236,p108
33790,0.0,s236,p108
33791,0.0,s236,p108
33792,0.0,s236,p108
33793,0.0,s236,p108
33794,0.0,s286,p93
33795,0.0,s286,p93
33796,0.0,s286,p93
33797,0.0,s240,p109
33798,0.0,s240,p109
33799,0.0,s240,p109
33800,0.0,s240,p109
33801,0.0,s240,p109
33802,0.0,s240,p109
33803,0.0,s240,p109
33804,0.0,s240,p109
33805,0.0,s240,p109
33806,0.0,s240,p109
33807,0.0,s240,p109
33808,0.0,s240,p109
33809,0.0,s240,p109
33810,0.0,s240,p109
33811,0.0,s240,p109
33812,0.0,s240,p109
33813,0.0,s236,p108
33814,0.0,s236,p108
33815,0.0,s236,p108
33816,0.0,s237,p109
33817,0.0,s237,p109
33818,0.0,s237,p109
33819,0.0,s237,p109
33820,0.0,s237,p109
33821,0.0,s237,p109
33822,0.0,s237,p109
33823,0.0,s237,p109
33824,0.0,s238,p109
33825,0.0,s238,p109
33826,0.0,s242,p110
33827,0.0,s242,p110
33828,0.0,s242,p110
33829,0.0,s242,p110
33830,0.0,s242,p110
33831,0.0,s242,p110
33832,0.0,s242,p110
33833,0.0,s242,p110
33834,0.0,s243,p118
33835,0.0,s242,p110
33836,0.0,s242,p110
33837,0.0,s242,p110
33838,0.0,s242,p110
33839,0.0,s242,p110
33840,0.0,s242,p110
33841,0.0,s242,p110
33842,0.0,s242,p110
33843,0.0,s242,p110
33844,0.0,s242,p110
33845,0.0,s242,p110
33846,0.0,s242,p110
33847,0.0,s242,p110
33848,0.0,s242,p110
33849,0.0,s242,p110
33850,0.0,s242,p110
33851,0.0,s242,p110
33852,0.0,s242,p110
33853,0.0,s242,p110
33854,0.0,s242,p110
33855,0.0,s242,p110
33856,0.0,s242,p110
33857,0.0,s240,p109
33858,0.0,s238,p109
33859,0.0,s238,p109
33860,0.0,s240,p109
33861,0.0,s287,p93
33862,0.0,s287,p93
33863,0.0,s287,p93
33864,0.0,s287,p93
33865,0.0,s287,p93
33866,0.0,s287,p93
33867,0.0,s287,p93
33868,0.0,s287,p93
33869,0.0,s287,p93
33870,0.0,s287,p93
33871,0.0,s287,p93
33872,0.0,s287,p93
33873,0.0,s287,p93
33874,0.0,s287,p93
33875,0.0,s287,p93
33876,0.0,s287,p93
33877,0.0,s240,p109
33878,0.0,s240,p109
33879,0.0,s287,p93
33880,0.0,s287,p93
33881,0.0,s287,p93
33882,0.0,s287,p93
33883,0.0,s287,p93
33884,0.0,s287,p93
33885,0.0,s287,p93
33886,0.0,s240,p109
33887,0.0,s240,p109
33888,0.0,s240,p109
33889,0.0,s240,p109
33890,0.0,s240,p109
33891,0.0,s240,p109
33892,0.0,s240,p109
33893,0.0,s240,p109
33894,0.0,s240,p109
33895,0.0,s238,p109
33896,0.0,s287,p93
33897,0.0,s287,p93
33898,0.0,s287,p93
33899,0.0,s240,p109
33900,0.0,s240,p109
33901,0.0,s240,p109
33902,0.0,s240,p109
33903,0.0,s238,p109
33904,0.0,s240,p109
33905,0.0,s240,p109
33906,0.0,s240,p109
33907,0.0,s240,p109
33908,0.0,s286,p93
33909,0.0,s286,p93
33910,0.0,s286,p93
33911,0.0,s286,p93
33912,0.0,s286,p93
33913,0.0,s286,p93
33914,0.0,s286,p93
33915,0.0,s286,p93
33916,0.0,s286,p93
33917,0.0,s286,p93
33918,0.0,s286,p93
33919,0.0,s286,p93
33920,0.0,s286,p93
33921,0.0,s286,p93
33922,0.0,s286,p93
33923,0.0,s286,p93
33924,0.0,s286,p93
33925,0.0,s236,p108
33926,0.0,s236,p108
33927,0.0,s236,p108
33928,0.0,s236,p108
33929,0.0,s224,p107
33930,0.0,s286,p93
33931,0.0,s286,p93
33932,0.0,s286,p93
33933,0.0,s286,p93
33934,0.0,s286,p93
33935,0.0,s286,p93
33936,0.0,s240,p109
33937,0.0,s236,p108
33938,0.0,s236,p108
33939,0.0,s236,p108
33940,0.0,s236,p108
33941,0.0,s236,p108
33942,0.0,s236,p108
33943,0.0,s236,p108
33944,0.0,s236,p108
33945,0.0,s236,p108
33946,0.0,s236,p108
33947,0.0,s236,p108
33948,0.0,s236,p108
33949,0.0,s286,p93
33950,0.0,s286,p93
33951,0.0,s236,p108
33952,0.0,s236,p108
33953,0.0,s236,p108
33954,0.0,s224,p107
33955,0.0,s224,p107
33956,0.0,s224,p107
33957,0.0,s224,p107
33958,0.0,s224,p107
33959,0.0,s224,p107
33960,0.0,s224,p107
33961,0.0,s224,p107
33962,0.0,s224,p107
33963,0.0,s224,p107
33964,0.0,s239,p109
33965,0.0,s239,p109
33966,0.0,s239,p109
33967,0.0,s239,p109
33968,0.0,s239,p109
33969,0.0,s239,p109
33970,0.0,s239,p109
33971,0.0,s239,p109
33972,0.0,s239,p109
33973,0.0,s239,p109
33974,0.0,s240,p109
33975,0.0,s240,p109
33976,0.0,s240,p109
33977,0.0,s240,p109
33978,0.0,s240,p109
33979,0.0,s240,p109
33980,0.0,s240,p109
33981,0.0,s240,p109
33982,0.0,s240,p109
33983,0.0,s240,p109
33984,0.0,s240,p109
33985,0.0,s240,p109
33986,0.0,s240,p109
33987,0.0,s240,p109
33988,0.0,s224,p107
33989,0.0,s224,p107
33990,0.0,s236,p108
33991,0.0,s236,p108
33992,0.0,s224,p107
33993,0.0,s224,p107
33994,0.0,s224,p107
33995,0.0,s224,p107
33996,0.0,s224,p107
33997,0.0,s224,p107
33998,0.0,s224,p107
33999,0.0,s224,p107
34000,0.0,s224,p107
34001,0.0,s238,p109
34002,0.0,s238,p109
34003,0.0,s238,p109
34004,0.0,s238,p109
34005,0.0,s238,p109
34006,0.0,s238,p109
34007,0.0,s238,p109
34008,0.0,s238,p109
34009,0.0,s286,p93
34010,0.0,s286,p93
34011,0.0,s286,p93
34012,0.0,s286,p93
34013,0.0,s286,p93
34014,0.0,s286,p93
34015,0.0,s286,p93
34016,0.0,s286,p93
34017,0.0,s286,p93
34018,0.0,s286,p93
34019,0.0,s286,p93
34020,0.0,s286,p93
34021,0.0,s286,p93
34022,0.0,s242,p110
34023,0.0,s242,p110
34024,0.0,s242,p110
34025,0.0,s242,p110
34026,0.0,s242,p110
34027,0.0,s242,p110
34028,0.0,s242,p110
34029,0.0,s242,p110
34030,0.0,s242,p110
34031,0.0,s286,p93
34032,0.0,s286,p93
34033,0.0,s286,p93
34034,0.0,s286,p93
34035,0.0,s286,p93
34036,0.0,s286,p93
34037,0.0,s286,p93
34038,0.0,s286,p93
34039,0.0,s286,p93
34040,0.0,s286,p93
34041,0.0,s286,p93
34042,0.0,s286,p93
34043,0.0,s224,p107
34044,0.0,s224,p107
34045,0.0,s224,p107
34046,0.0,s224,p107
34047,0.0,s224,p107
34048,0.0,s224,p107
34049,0.0,s224,p107
34050,0.0,s224,p107
34051,0.0,s240,p109
34052,0.0,s240,p109
34053,0.0,s240,p109
34054,0.0,s240,p109
34055,0.0,s240,p109
34056,0.0,s240,p109
34057,0.0,s240,p109
34058,0.0,s240,p109
34059,0.0,s240,p109
34060,0.0,s240,p109
34061,0.0,s240,p109
34062,0.0,s240,p109
34063,0.0,s240,p109
34064,0.0,s286,p93
34065,0.0,s286,p93
34066,0.0,s286,p93
34067,0.0,s286,p93
34068,0.0,s286,p93
34069,0.0,s236,p108
34070,0.0,s236,p108
34071,0.0,s224,p107
34072,0.0,s224,p107
34073,0.0,s224,p107
34074,0.0,s286,p93
34075,0.0,s286,p93
34076,0.0,s286,p93
34077,0.0,s237,p109
34078,0.0,s237,p109
34079,0.0,s237,p109
34080,0.0,s237,p109
34081,0.0,s237,p109
34082,0.0,s237,p109
34083,0.0,s286,p93
34084,0.0,s286,p93
34085,0.0,s286,p93
34086,0.0,s286,p93
34087,0.0,s286,p93
34088,0.0,s286,p93
34089,0.0,s286,p93
34090,0.0,s286,p93
34091,0.0,s286,p93
34092,0.0,s224,p107
34093,0.0,s224,p107
34094,0.0,s224,p107
34095,0.0,s224,p107
34096,0.0,s224,p107
34097,0.0,s224,p107
34098,0.0,s239,p109
34099,0.0,s239,p109
34100,0.0,s239,p109
34101,0.0,s239,p109
34102,0.0,s239,p109
34103,0.0,s239,p109
34104,0.0,s239,p109
34105,0.0,s239,p109
34106,0.0,s239,p109
34107,0.0,s287,p93
34108,0.0,s287,p93
34109,0.0,s287,p93
34110,0.0,s287,p93
34111,0.0,s287,p93
34112,0.0,s287,p93
34113,0.0,s236,p108
34114,0.0,s236,p108
34115,0.0,s236,p108
34116,0.0,s236,p108
34117,0.0,s236,p108
34118,0.0,s224,p107
34119,0.0,s224,p107
34120,0.0,s224,p107
34121,0.0,s224,p107
34122,0.0,s242,p110
34123,0.0,s242,p110
34124,0.0,s242,p110
34125,0.0,s242,p110
34126,0.0,s242,p110
34127,0.0,s242,p110
34128,0.0,s224,p107
34129,0.0,s224,p107
34130,0.0,s224,p107
34131,0.0,s224,p107
34132,0.0,s224,p107
34133,0.0,s224,p107
34134,0.0,s224,p107
34135,0.0,s224,p107
34136,0.0,s238,p109
34137,0.0,s238,p109
34138,0.0,s238,p109
34139,0.0,s238,p109
34140,0.0,s238,p109
34141,0.0,s238,p109
34142,0.0,s238,p109
34143,0.0,s238,p109
34144,0.0,s238,p109
34145,0.0,s238,p109
34146,0.0,s238,p109
34147,0.0,s224,p107
34148,0.0,s224,p107
34149,0.0,s236,p108
34150,0.0,s236,p108
34151,0.0,s236,p108
34152,0.0,s236,p108
34153,0.0,s236,p108
34154,0.0,s236,p108
34155,0.0,s236,p108
34156,0.0,s240,p109
34157,0.0,s240,p109
34158,0.0,s239,p109
34159,0.0,s239,p109
34160,0.0,s239,p109
34161,0.0,s239,p109
34162,0.0,s239,p109
34163,0.0,s239,p109
34164,0.0,s239,p109
34165,0.0,s236,p108
34166,0.0,s236,p108
34167,0.0,s287,p93
34168,0.0,s287,p93
34169,0.0,s287,p93
34170,0.0,s287,p93
34171,0.0,s287,p93
34172,0.0,s287,p93
34173,0.0,s287,p93
34174,0.0,s287,p93
34175,0.0,s237,p109
34176,0.0,s237,p109
34177,0.0,s237,p109
34178,0.0,s237,p109
34179,0.0,s237,p109
34180,0.0,s237,p109
34181,0.0,s237,p109
34182,0.0,s224,p107
34183,0.0,s224,p107
34184,0.0,s224,p107
34185,0.0,s224,p107
34186,0.0,s224,p107
34187,0.0,s250,p116
34188,0.0,s249,p116
34189,0.0,s249,p116
34190,0.0,s249,p116
34191,0.0,s249,p116
34192,0.0,s249,p116
34193,0.0,s249,p116
34194,0.0,s249,p116
34195,0.0,s249,p116
34196,0.0,s249,p116
34197,0.0,s249,p116
34198,0.0,s249,p116
34199,0.0,s249,p116
34200,0.0,s250,p116
34201,0.0,s250,p116
34202,0.0,s249,p116
34203,0.0,s249,p116
34204,0.0,s249,p116
34205,0.0,s249,p116
34206,0.0,s249,p116
34207,0.0,s249,p116
34208,0.0,s301,p100
34209,0.0,s301,p100
34210,0.0,s308,p116
34211,0.0,s308,p116
34212,0.0,s308,p116
34213,0.0,s253,p121
34214,0.0,s253,p121
34215,0.0,s253,p121
34216,0.0,s253,p121
34217,0.0,s253,p121
34218,0.0,s253,p121
34219,0.0,s308,p116
34220,0.0,s308,p116
34221,0.0,s308,p116
34222,0.0,s308,p116
34223,0.0,s308,p116
34224,0.0,s308,p116
34225,0.0,s308,p116
34226,0.0,s308,p116
34227,0.0,s308,p116
34228,0.0,s308,p116
34229,0.0,s308,p116
34230,0.0,s308,p116
34231,0.0,s308,p116
34232,0.0,s308,p116
34233,0.0,s308,p116
34234,0.0,s308,p116
34235,0.0,s308,p116
34236,0.0,s308,p116
34237,0.0,s308,p116
34238,0.0,s308,p116
34239,0.0,s308,p116
34240,0.0,s308,p116
34241,0.0,s308,p116
34242,0.0,s308,p116
34243,0.0,s308,p116
34244,0.0,s308,p116
34245,0.0,s308,p116
34246,0.0,s308,p116
34247,0.0,s253,p121
34248,0.0,s308,p116
34249,0.0,s308,p116
34250,0.0,s308,p116
34251,0.0,s253,p121
34252,0.0,s253,p121
34253,0.0,s308,p116
34254,0.0,s308,p116
34255,0.0,s308,p116
34256,0.0,s308,p116
34257,0.0,s253,p121
34258,0.0,s253,p121
34259,0.0,s308,p116
34260,0.0,s308,p116
34261,0.0,s253,p121
34262,0.0,s247,p117
34263,0.0,s247,p117
34264,0.0,s247,p117
