bus_id,name_abbr,dist,lat,lon
295,NEISO,0.0,44.7351,-68.7152
296,NEISO,0.0,44.7351,-68.7152
297,NEISO,0.0,44.761,-68.6065
298,NEISO,0.0,44.761,-68.6065
299,NEISO,0.0,44.3214,-68.2969
300,NEISO,0.0,44.2582,-68.3514
301,NEISO,0.0,44.2582,-68.3514
302,NEISO,0.0,44.2582,-68.3514
303,NEISO,0.0,44.476,-68.6297
304,NEISO,0.0,44.3005,-68.3653
305,NEISO,0.0016612593344942001,44.1143,-68.3342
306,NEISO,0.0016612593344942001,44.1143,-68.3342
307,NEISO,0.0036210405013111764,44.2197,-68.5637
308,NEISO,0.0002865538262853288,44.124,-68.6124
309,NEISO,0.0,44.538,-68.1581
310,NEISO,0.0,44.5516,-69.4616
311,NEISO,0.0,44.4046,-69.6627
312,NEISO,0.0,44.4046,-69.6627
313,NEISO,0.0,44.4046,-69.6627
314,NEISO,0.0,44.4046,-69.6627
315,NEISO,0.0,44.4046,-69.6627
316,NEISO,0.0,44.4175,-69.718
317,NEISO,0.0,44.4502,-69.7496
318,NEISO,0.0,44.4502,-69.7496
319,NEISO,0.0,44.4502,-69.7496
320,NEISO,0.0,44.2974,-69.8184
321,NEISO,0.0,44.2974,-69.8184
322,NEISO,0.0,44.2974,-69.8184
323,NEISO,0.0,44.2974,-69.8184
324,NEISO,0.0,44.2974,-69.8184
325,NEISO,0.0,44.2974,-69.8184
326,NEISO,0.0,44.2974,-69.8184
327,NEISO,0.0,44.4002,-69.8624
328,NEISO,0.0,44.5496,-69.7358
329,NEISO,0.0,44.6859,-69.541
330,NEISO,0.0,44.3495,-69.8211
331,NEISO,0.0,44.2292,-69.8187
332,NEISO,0.0,44.1883,-69.8022
333,NEISO,0.0,44.1883,-69.8022
334,NEISO,0.0,44.1883,-69.8022
335,NEISO,0.0,44.2735,-69.7246
336,NEISO,0.0,44.1898,-69.9615
337,NEISO,0.0,44.1898,-69.9615
338,NEISO,0.0,44.1712,-69.844
339,NEISO,0.0,44.1501,-69.9293
340,NEISO,0.0,44.1501,-69.9293
341,NEISO,0.0,44.2071,-70.032
342,NEISO,0.0,44.4623,-69.8745
343,NEISO,0.0,44.5381,-69.9439
344,NEISO,0.0,44.6036,-69.9332
