,type
1295,dfo
1296,dfo
1297,dfo
1298,dfo
1299,dfo
1300,ng
1301,ng
1302,ng
1303,ng
1304,dfo
1305,dfo
1306,dfo
1307,dfo
1308,dfo
1309,dfo
1310,ng
1311,ng
1312,nuclear
1313,ng
1314,ng
1315,ng
1316,ng
1317,ng
1318,ng
1319,ng
1320,ng
1321,ng
1322,ng
1323,ng
1324,ng
1325,dfo
1326,dfo
1327,dfo
1328,dfo
1329,dfo
1330,ng
1331,ng
1332,ng
1333,ng
1334,ng
1335,ng
1336,ng
1337,ng
1338,ng
1339,ng
1340,ng
1341,ng
1342,dfo
1343,dfo
1344,dfo
1345,hydro
1346,hydro
1347,hydro
1348,hydro
1349,ng
1350,ng
1351,ng
1352,ng
1353,ng
1354,ng
1355,hydro
1356,hydro
1357,hydro
1358,hydro
1359,hydro
1360,hydro
1361,hydro
1362,hydro
1363,hydro
1364,hydro
1365,hydro
1366,ng
1367,ng
1368,ng
1369,hydro
1370,hydro
1371,hydro
1372,hydro
1373,hydro
1374,hydro
1375,hydro
1376,hydro
1377,hydro
1378,hydro
1379,coal
1380,hydro
1381,hydro
1382,hydro
1383,hydro
1384,hydro
1385,hydro
1386,hydro
1387,hydro
1388,hydro
1389,hydro
1390,hydro
1391,hydro
1392,hydro
1393,hydro
1394,hydro
1395,hydro
1396,ng
1397,ng
1398,ng
1399,ng
1400,ng
1401,hydro
1402,hydro
1403,hydro
1404,hydro
1405,hydro
1406,hydro
1407,hydro
1408,hydro
1409,wind
1410,hydro
1411,hydro
1412,hydro
1413,ng
1414,hydro
1415,hydro
1416,hydro
1417,hydro
1418,hydro
1419,hydro
1420,hydro
1421,hydro
1422,hydro
1423,hydro
1424,dfo
1425,hydro
1426,hydro
1427,hydro
1428,hydro
1429,hydro
1430,hydro
1431,hydro
1432,hydro
1433,hydro
1434,hydro
1435,hydro
1436,hydro
1437,hydro
1438,hydro
1439,hydro
1440,hydro
1441,hydro
1442,hydro
1443,wind
1444,hydro
1445,hydro
1446,hydro
1447,wind
1448,wind
1449,ng
1450,hydro
1451,hydro
1452,hydro
1453,hydro
1454,hydro
1455,hydro
1456,hydro
1457,hydro
1458,hydro
1459,hydro
1460,ng
1461,ng
1462,hydro
1463,hydro
1464,hydro
1465,hydro
1466,hydro
1467,hydro
1468,hydro
1469,hydro
1470,hydro
1471,hydro
1472,hydro
1473,hydro
1474,hydro
1475,hydro
1476,dfo
1477,dfo
1478,dfo
1479,ng
1480,ng
1481,hydro
1482,hydro
1483,hydro
1484,hydro
1485,hydro
1486,dfo
1487,dfo
1488,dfo
1489,hydro
1490,hydro
1491,hydro
1492,hydro
1493,hydro
1494,hydro
1495,hydro
1496,hydro
1497,hydro
1498,hydro
1499,hydro
1500,hydro
1501,hydro
1502,ng
1503,ng
1504,hydro
1505,hydro
1506,hydro
1507,hydro
1508,hydro
1509,hydro
1510,hydro
1511,hydro
1512,hydro
1513,hydro
1514,hydro
1515,ng
1516,ng
1517,ng
1518,ng
1519,hydro
1520,hydro
1521,hydro
1522,hydro
1523,hydro
1524,ng
1525,ng
1526,ng
1527,ng
1528,ng
1529,ng
1530,hydro
1531,hydro
1532,hydro
1533,hydro
1534,hydro
1535,hydro
1536,hydro
1537,hydro
1538,hydro
1539,hydro
1540,hydro
1541,hydro
1542,hydro
1543,hydro
1544,hydro
1545,hydro
1546,hydro
1547,wind
1548,hydro
1549,wind
1550,hydro
1551,hydro
1552,hydro
1553,hydro
1554,hydro
1555,hydro
1556,hydro
1557,hydro
1558,hydro
1559,hydro
1560,hydro
1561,hydro
1562,hydro
1563,hydro
1564,hydro
1565,hydro
1566,hydro
1567,hydro
1568,hydro
1569,hydro
1570,hydro
1571,hydro
1572,hydro
1573,hydro
1574,hydro
1575,hydro
1576,hydro
1577,wind
1578,hydro
1579,hydro
1580,nuclear
1581,hydro
1582,hydro
1583,hydro
1584,ng
1585,ng
1586,wind
1587,hydro
1588,hydro
1589,hydro
1590,ng
1591,ng
1592,ng
1593,ng
1594,ng
1595,ng
1596,ng
1597,hydro
1598,hydro
1599,hydro
1600,hydro
1601,ng
1602,ng
1603,hydro
1604,hydro
1605,ng
1606,ng
1607,hydro
1608,hydro
1609,hydro
1610,hydro
1611,wind
1612,wind
1613,ng
1614,ng
1615,wind
1616,hydro
1617,coal
1618,coal
1619,ng
1620,hydro
1621,hydro
1622,hydro
1623,hydro
1624,hydro
1625,hydro
1626,hydro
1627,ng
1628,ng
1629,ng
1630,ng
1631,ng
1632,coal
1633,coal
1634,coal
1635,coal
1636,coal
1637,coal
1638,ng
1639,ng
1640,hydro
1641,hydro
1642,hydro
1643,hydro
1644,hydro
1645,hydro
1646,hydro
1647,hydro
1648,hydro
1649,hydro
1650,hydro
1651,hydro
1652,hydro
1653,hydro
1654,hydro
1655,hydro
1656,ng
1657,ng
1658,wind
1659,ng
1660,ng
1661,ng
1662,ng
1663,hydro
1664,hydro
1665,hydro
1666,hydro
1667,hydro
1668,hydro
1669,coal
1670,coal
1671,coal
1672,coal
1673,hydro
1674,hydro
1675,hydro
1676,hydro
1677,hydro
1678,wind
1679,wind
1680,hydro
1681,hydro
